Codelist_Name,ERAP_Number,Project_Title,Author,Coding System,Year_Created,Path_to_Codelist
Dual-energy X-ray Absorptiometry (DXA) - Unspecified,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/DXA_Unspecified_with_SNOMED_Update.csv
Dyspnea,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Dyspnea_with_SNOMED_Update.csv
Eatin disorder - Referral,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_Eatingdisorder_Referral_20240304.txt
Eating disorder - Other,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_Eatingdisorder_Other_diagnosis_20240304.txt
Eczema,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Eczema.txt
eGFR (estimated glomerular filtration rate) using CKD-Epi (Chronic Kidney Disease Epidemiology Collaboration) formula,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/eGFR_Epi_with_SNOMED_Update.csv
Endometriosis,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/IE_CL_Endometriosis.txt
Eosinophil count,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/EosinophilCount_with_SNOMED_Update.csv
Eosinophil Percentage,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/EosinophilPercentage_with_SNOMED_Update.csv
Epilepsy,22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_epilepsy.csv
Epilepsy,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_epilepsy.csv
Erectile Dysfunction,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Aurum_Erectiledysfunction_codelist_240322.txt
Erectile Dysfunction,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Gold_Erectiledysfunction_codelist_240322.txt
Erythrocyte sedimentation rate (ESR),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/ESR_with_SNOMED_Update.csv
Ethnicity,22-001873,Anaemia,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Anaemia/blob/main/Smith/Codelists/Ethnicity.csv
Ethnicity,22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_ethnicitycodes.csv
Ethnicity,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_ethnicity.csv
Falls,22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_falls.csv
Falls,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_Falls.csv
Family History: Anxiety,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistoryAnxiety_with_SNOMED_Update.csv
Family History: Cancer,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistoryCancer_with_SNOMED_Update.csv
Family History: Cardiovascular Disease,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Aurum__FHxCVD_codelist_050123.txt
Family History: Cardiovascular Disease,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Aurum__FHxCVD_codelist_260123.txt
Family History: Cardiovascular Disease,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Gold_FHxCVD_codelist_050123.txt
Family History: Cardiovascular Disease,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Gold_FHxCVD_codelist_260213.txt
Family History: Coronary Heart Disease (CHD),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistoryCoronaryHeartDisease_with_SNOMED_Update.csv
Family History: Dementia,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistoryDementia_with_SNOMED_Update.csv
Family History: Depression,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistoryDepression_with_SNOMED_Update.csv
Family History: Diabetes,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistoryDiabetes_with_SNOMED_Update.csv
Family History: Parkinsons,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistoryParkinsons_with_SNOMED_Update.csv
Family History: Rhuematoid Arthritis,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistoryRheumatoidArthritis_with_SNOMED_Update.csv
Family History: Schizoprenia,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistorySchizoprenia_with_SNOMED_Update.csv
Family History: Stroke,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistoryStroke_with_SNOMED_Update.csv
Famiy History: Chronic Obstructive Pulmonary Disease (COPD),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/FamilyHistoryCOPD_with_SNOMED_Update.csv
Fasting blood glucose level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/FastingBloodGlucose_with_SNOMED_Update.csv
Fatigue,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Fatigue_with_SNOMED_Update.csv
Febrile Respiratory Illness (FRI),21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Resp_infection_codes/AURUM_Cohort_FRIs_by_type_table.txt
Febrile Respiratory Illness (FRI),21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Resp_infection_codes/GOLD_Cohort_FRIs_by_type_table.txt
Ferritin,22-001873,Anaemia,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Anaemia/blob/main/Smith/Codelists/Ferritin.csv
Ferritin Level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Ferritin_with_SNOMED_Update.csv
Fibrogen Level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Fibrogen_with_SNOMED_Update.csv
Flu,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Flu_with_SNOMED_Update.csv
Follicle stimulating hormone level (FSH),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/FSH_with_SNOMED_Update.csv
Fracture,22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_fracture_medcodeids.csv
Fracture,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_cprd%20fracture%20codes.csv
Fracture Risk Assessment Tool (FRAX) - Hip,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/FRAX_hip_with_SNOMED_Update.csv
Fracture Risk Assessment Tool (FRAX) - Unspecified,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/FRAX_Unspecified_with_SNOMED_Update.csv
Frailty,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/AK_CL_Frailty.txt
GAD-7 score,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/GAD-7Score_with_SNOMED_Update.csv
Gastro-esophageal reflux disease (GORD),22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SM_CL_GORD.txt
GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/eGFR_Mod_with_SNOMED_Update.csv
Gout,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Gout_with_SNOMED_Update.csv
Gout,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Gout.txt
Haematocrit Packed Cell Volume (PCV),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Haematocrit_with_SNOMED_Update.csv
Haemoglobin,22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/Haemoglobin.csv
Haemoglobin,22-001873,Anaemia,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Anaemia/blob/main/Smith/Codelists/Haemoglobin.csv
Haemoglobin A1c level (HbA1c),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/HbA1c_with_SNOMED_Update.csv
Haemoglobin A1c level (HbA1c),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_HbA1c.txt
Haemoglobin Level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Haemoglobin_with_SNOMED_Update.csv
Hearing Impairment,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_hearing%20impairment.csv
Hearing Loss,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/HearingLoss_with_SNOMED_Update.csv
Heart Failure,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Heart_failure_QOF_Codelist.csv
Heart Failure,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Aurum_HF_codelist.txt
Heart Failure,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Gold_HF_codelist.txt
Heart Failure,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Heartfailure.txt
Heart Failure (HF),22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/VM_CL_HeartFailure.txt
Height,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Height_with_SNOMED_Update.csv
Height,22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_height.csv
Height,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Exposures/Min_Height_20240220.txt
High density lipoprotein cholesterol level (HDL Cholesterol),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/HDL_Cholesterol_with_SNOMED_Update.csv
High density lipoprotein cholesterol level (HDL Cholesterol),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_HDL.txt
Hip Circumference,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Exposures/Min_HipCirc_20240220.txt
HIV AIDS,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/HIV_AIDS_with_SNOMED_Update.csv
Hyperglycemia,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_hyperglycemia.txt
Hyperprolactinaemia,22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Hyperprolactinaemia%20Aurum%20VF%2016%20Feb%202022.csv
Hyperprolactinaemia,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_hyperprolactinaemia.csv
Hypertension,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Hypertension_QOF_Codelist.csv
Hypertension,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Hypertension.txt
"Hyperthyroidism, Hyperparathroidism, Cushing's syndrome",22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Hyperthyroidism%2C%20Hyperparathroidism%2C%20Cushing's%20syndrome%20Aurum%20VF%206%20Mar%202022.csv
"Hyperthyroidism, Hyperparathroidism, Cushing's syndrome",22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_Hyperthyroidism%2C%20Hyperparathyroidism%2C%20Cushing's%20syndrome.csv
Hypogonadism,22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Hypogonadism%20final%2010%20Feb%202022.csv
Hypogonadism,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_hypogonadism.csv
Impaired Mobility,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_impaired%20mobility.csv
Insomnia,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Insomnia_with_SNOMED_Update.csv
Intellectual Disability,22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_ID_codes.csv
Intellectual Disability,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_ID%20codes%20colour%20coded.csv
International Normalised Ratio (INR),22_001273,Evaluation of Anaemia in a Primary Care Population,Suzanne Maynard,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/VM_IronDeficiency.txt
Iron - Deficiency,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/VM_IronDeficiency.txt
Irritable Bowel Syndrome (IBS/IBD),22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/VM_CL_IBS.txt
Irritable Bowel Syndrome (IBS/IBD),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_IBD.txt
Kidney Injury - Acute,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/AcuteKidneyInjury_with_SNOMED_Update.csv
Learning Difficulties,22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Learning%20diff%20exclusions%20VF%2021%20Apr%202021.csv
Learning Disability,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/LearningDisability_with_SNOMED_Update.csv
Low density lipoprotein cholesterol level (LDL Cholesterol),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_LDL.txt
Lupus,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Lupus_with_SNOMED_Update.csv
Lymphocyte count,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/LymphocyteCount_with_SNOMED_Update.csv
Lymphocyte Percentage,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/LymphocytePercentage_with_SNOMED_Update.csv
Malabsorption,22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_malabsorption.csv
Malabsorption,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_Malabsorption%2C%20Crohn's%2C%20etc.csv
Marital Status,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Maritalstatus.txt
Mean cell haemoglobin (MCH),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/MCH_with_SNOMED_Update.csv
Mean Corpuscular Haemoglobin (MCH),22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/MeanCorpuscularHaemoglobin.csv
Mean Corpuscular Haemoglobin (MCH),22-001873,Anaemia,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Anaemia/blob/main/Smith/Codelists/Mean_Corpuscular_Haemoglobin.csv
Mean corpuscular haemoglobin concentration (MCHC),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/MCHC_with_SNOMED_Update.csv
Mean Corpuscular Volume (MCV),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/MCV_with_SNOMED_Update.csv
Mean Corpuscular Volume (MCV),22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/MeanCorpuscularVolume.csv
Mean Corpuscular Volume (MCV),22-001873,Anaemia,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Anaemia/blob/main/Smith/Codelists/Mean_Corpuscular_Volume.csv
Mean platelet volume (MPV),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/MPV_with_SNOMED_Update.csv
Monocyte count,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/MonocyteCount_with_SNOMED_Update.csv
Monocyte Percentage,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/MonocytePercentage_with_SNOMED_Update.csv
Multiple Sclerosis (MS),22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/AK_CL_Multiple_Sclerosis.txt
Multiple Sclerosis (MS),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Multiplesclerosis.txt
Myeloma,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Myeloma_with_SNOMED_Update.csv
Myocardial Infarction,22-000453,ID Fracture,Margaret Smith,Gold,2024,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_mi.csv
"Myocardial Infarction, Angina",22-000453,ID Fracture,Margaret Smith,Aurum,2024,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_MI%20angina%20Aurum%20VF%206%20March%202022.csv
Neutrophil count,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/NeutrophilCount_with_SNOMED_Update.csv
Nuetrophil Percentage,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/NeutrophilPercentage_with_SNOMED_Update.csv
Number of days per week of mod intensity physical activity,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/NumDaysPhysAct_with_SNOMED_Update.csv
Obstructive Sleep Apnoea,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Aurum_OSA_codelist_240322.txt
Obstructive Sleep Apnoea,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Gold_OSA_codelist_240322.txt
Obstructive Sleep Apnoea,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Obstructivesleepapnoea.txt
